Waktu,Tipe Kejadian,Kabupaten / Kota,Cuaca,Tingkatan
22/01/2025 10.30.00,Banjir,Batu Kota,Hujan lebat,RENDAH
22/01/2025 05.10.00,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
22/01/2025 02.30.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
22/01/2025 02.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
21/01/2025 22.10.00,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
21/01/2025 22.00.00,Banjir,Sumenep Kabupaten,Hujan Lebat,RENDAH
21/01/2025 21.34.42,Banjir,Blitar Kota,Hujan Lebat,RENDAH
21/01/2025 20.30.00,Banjir,Tulungagung Kabupaten,Hujan Lebat,RENDAH
21/01/2025 19.00.56,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
21/01/2025 18.15.00,Banjir,Blitar Kota,Hujan Lebat,RENDAH
21/01/2025 17.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,SEDANG
21/01/2025 17.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,SEDANG
21/01/2025 10.20.00,Banjir,Bangkalan Kabupaten,Hujan Lebat,SEDANG
21/01/2025 03.00.00,Banjir,Ngawi Kabupaten,Hujan Lebat,SEDANG
21/01/2025 01.00.00,Banjir,Jombang Kabupaten,Hujan,RENDAH
21/01/2025 01.00.00,Banjir,Bangkalan Kabupaten,Hujan Lebat,SEDANG
20/01/2025 19.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
20/01/2025 18.15.00,Banjir,Jember Kabupaten,Hujan,RENDAH
20/01/2025 17.30.00,Banjir,Probolinggo Kabupaten,Berawan,RENDAH
20/01/2025 16.30.00,Banjir,Pasuruan Kota,Hujan Sedang,SEDANG
20/01/2025 04.30.00,Banjir,Probolinggo Kota,Hujan Lebat,RENDAH
20/01/2025 03.00.00,Banjir,Jombang Kabupaten,Cerah,RENDAH
19/01/2025 19.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,SEDANG
19/01/2025 16.00.00,Banjir,Jombang Kabupaten,Hujan Sedang,RENDAH
19/01/2025 13.00.00,Banjir,Jember Kabupaten,Hujan Sedang - Lebat,SEDANG
19/01/2025 00.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
17/01/2025 20.00.00,Banjir,Probolinggo Kota,Hujan Lebat,RENDAH
17/01/2025 14.20.00,Banjir,Lumajang Kabupaten,Hujan Lebat,RENDAH
16/01/2025 05.30.00,Banjir,Probolinggo Kota,Hujan Lebat,RENDAH
16/01/2025 01.00.00,Banjir,Pasuruan Kabupaten,Hujan,SEDANG
15/01/2025 22.00.00,Banjir,Sidoarjo Kabupaten,Hujan Sedang,SEDANG
15/01/2025 04.00.00,Banjir,Bangkalan Kabupaten,Hujan Lebat,RENDAH
15/01/2025 03.00.00,Banjir,Ngawi Kabupaten,Hujan Lebat,SEDANG
14/01/2025 23.00.00,Banjir Rob,Gresik Kabupaten,Hujan,RENDAH
14/01/2025 21.30.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
14/01/2025 19.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,SEDANG
14/01/2025 18.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
14/01/2025 17.00.00,Banjir,Malang Kabupaten,Hujan,RENDAH
14/01/2025 16.00.00,Banjir,Kediri Kabupaten,Hujan Lebat,RENDAH
14/01/2025 15.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
11/01/2025 16.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
11/01/2025 13.30.00,Banjir,Kediri Kabupaten,Hujan Lebat,SEDANG
09/01/2025 16.20.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,RENDAH
09/01/2025 15.00.00,Banjir Bandang,Bondowoso Kabupaten,Hujan Lebat,SEDANG
08/01/2025 21.00.00,Banjir,Ponorogo Kabupaten,Hujan,RENDAH
08/01/2025 10.00.00,Banjir,Lumajang Kabupaten,Berawan,SEDANG
07/01/2025 19.30.00,Banjir,Madiun Kabupaten,Hujan Sedang,RENDAH
07/01/2025 17.00.00,Banjir,Mojokerto Kabupaten,Hujan Sedang,RENDAH
07/01/2025 16.30.00,Banjir,Madiun Kabupaten,Hujan,RENDAH
07/01/2025 13.40.00,Banjir dan Tanah Longsor,Blitar Kota,Hujan Lebat,SEDANG
06/01/2025 17.00.00,Banjir,Tuban Kabupaten,Hujan Lebat,SEDANG
06/01/2025 16.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,SEDANG
06/01/2025 14.00.00,Banjir,Malang Kabupaten,Hujan Lebat,SEDANG
04/01/2025 16.00.00,Banjir,Tuban Kabupaten,Hujan lebat,RENDAH
04/01/2025 15.42.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
04/01/2025 13.30.00,Banjir,Jember Kabupaten,Hujan Lebat,SEDANG
02/01/2025 18.00.00,Banjir,Trenggalek Kabupaten,Hujan Sedang,RENDAH
02/01/2025 17.20.00,Banjir,Pacitan Kabupaten,Hujan Sedang,RENDAH
02/01/2025 15.00.00,Banjir,Sidoarjo Kabupaten,Hujan Sedang,RENDAH
02/01/2025 11.00.00,Banjir,Sumenep Kabupaten,Hujan Lebat,RENDAH
02/01/2025 10.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
02/01/2025 09.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,SEDANG
01/01/2025 19.45.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
01/01/2025 16.10.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
31/12/2024 18.00.00,Banjir,Situbondo Kabupaten,Hujan,RENDAH
31/12/2024 15.00.00,Banjir,Pasuruan Kabupaten,Hujan,SEDANG
31/12/2024 15.00.00,Banjir,Kediri Kabupaten,Hujan,RENDAH
31/12/2024 14.00.00,Banjir,Pasuruan Kota,Hujan Sedang,SEDANG
30/12/2024 19.00.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
30/12/2024 17.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
30/12/2024 15.00.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
30/12/2024 14.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
25/12/2024 17.30.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
25/12/2024 10.30.00,Banjir,Kediri Kabupaten,Hujan Lebat,RENDAH
24/12/2024 22.04.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
24/12/2024 20.30.00,Banjir,Jombang Kabupaten,Berawan - Hujan Sedang,RENDAH
24/12/2024 19.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,SEDANG
24/12/2024 18.00.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
24/12/2024 17.30.00,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
24/12/2024 17.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
24/12/2024 15.30.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
24/12/2024 15.00.00,Banjir,Sidoarjo Kabupaten,Berawan - Hujan Ringan,SEDANG
24/12/2024 15.00.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
24/12/2024 15.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
24/12/2024 14.00.00,Banjir Bandang,Situbondo Kabupaten,Berawan - Hujan Ringan,SEDANG
23/12/2024 18.30.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,RENDAH
23/12/2024 01.00.00,Banjir Bandang,Jember Kabupaten,Hujan Lebat,RENDAH
23/12/2024 01.00.00,Banjir Bandang,Jember Kabupaten,Hujan Lebat,RENDAH
22/12/2024 23.00.00,Banjir dan Tanah Longsor,Bondowoso Kabupaten,Hujan Lebat,SEDANG
22/12/2024 15.00.00,Banjir,Kediri Kabupaten,Hujan Lebat,RENDAH
22/12/2024 15.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
22/12/2024 14.00.00,Banjir,Tuban Kabupaten,Hujan Lebat,RENDAH
22/12/2024 12.20.00,Banjir,Jember Kabupaten,Hujan Ringan,SEDANG
21/12/2024 18.00.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
20/12/2024 20.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
20/12/2024 16.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
18/12/2024 04.30.00,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
17/12/2024 23.00.00,Banjir Rob,Pasuruan Kota,Berawan,RENDAH
17/12/2024 16.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,RENDAH
17/12/2024 15.00.00,Banjir,Sidoarjo Kabupaten,Hujan Sedang,RENDAH
17/12/2024 14.40.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
16/12/2024 22.54.00,Banjir,Sampang Kabupaten,Hujan,RENDAH
16/12/2024 21.00.00,Banjir Rob,Pasuruan Kota,Berawan,RENDAH
16/12/2024 15.00.00,Banjir dan Tanah Longsor,Ponorogo Kabupaten,Hujan Lebat,RENDAH
16/12/2024 08.00.00,Banjir,Tuban Kabupaten,Hujan,SEDANG
16/12/2024 06.30.00,Banjir,Sumenep Kabupaten,Hujan,RENDAH
16/12/2024 04.00.00,Banjir,Magetan Kabupaten,Hujan,SEDANG
16/12/2024 01.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
15/12/2024 21.00.00,Banjir,Ngawi Kabupaten,Hujan Lebat,SEDANG
15/12/2024 21.00.00,Banjir dan Tanah Longsor,Ponorogo Kabupaten,Hujan Lebat,RENDAH
15/12/2024 20.45.00,Banjir Rob,Gresik Kabupaten,Hujan,RENDAH
15/12/2024 20.00.00,Banjir Rob,Probolinggo Kabupaten,Hujan Sedang - Lebat,RENDAH
15/12/2024 20.00.00,Banjir,Mojokerto Kabupaten,Hujan,SEDANG
15/12/2024 20.00.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
15/12/2024 18.30.00,Banjir,Ponorogo Kabupaten,Hujan,TINGGI
15/12/2024 18.00.00,Banjir Bandang,Tuban Kabupaten,Hujan,SEDANG
15/12/2024 16.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
14/12/2024 20.00.00,Banjir Rob,Pasuruan Kota,Hujan Ringan,RENDAH
14/12/2024 20.00.00,Banjir Rob,Probolinggo Kabupaten,Cerah Berawan,RENDAH
14/12/2024 13.10.00,Banjir,Jember Kabupaten,Hujan,RENDAH
14/12/2024 12.30.00,Banjir,Batu Kota,Hujan lebat,RENDAH
14/12/2024 10.54.21,Banjir Rob,Sampang Kabupaten,Berawan,RENDAH
14/12/2024 00.30.00,Banjir,Situbondo Kabupaten,Hujan,RENDAH
13/12/2024 20.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,SEDANG
13/12/2024 14.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,RENDAH
12/12/2024 13.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
12/12/2024 13.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
12/12/2024 12.30.00,Banjir,Jember Kabupaten,Hujan Lebat,SEDANG
10/12/2024 16.00.00,Banjir,Jember Kabupaten,Hujan Lebat,RENDAH
10/12/2024 13.00.00,Banjir,Bondowoso Kabupaten,Hujan,RENDAH
10/12/2024 13.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
10/12/2024 12.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
09/12/2024 22.00.00,Banjir,Jombang Kabupaten,Berawan - Hujan Ringan,RENDAH
08/12/2024 18.30.00,Banjir,Pasuruan Kota,Hujan Sedang,RENDAH
08/12/2024 01.00.00,Banjir,Sidoarjo Kabupaten,Hujan Sedang,RENDAH
06/12/2024 23.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
06/12/2024 23.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,TINGGI
06/12/2024 20.00.00,Banjir,Mojokerto Kota,Hujan Ringan,TINGGI
06/12/2024 18.15.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
06/12/2024 18.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,TINGGI
06/12/2024 17.30.00,Banjir,Sidoarjo Kabupaten,Hujan,RENDAH
06/12/2024 17.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
06/12/2024 16.00.00,Banjir,Tulungagung Kabupaten,Hujan,RENDAH
06/12/2024 16.00.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,RENDAH
06/12/2024 16.00.00,Banjir,Madiun Kota,Hujan Lebat,RENDAH
06/12/2024 16.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,TINGGI
06/12/2024 16.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
06/12/2024 13.20.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
06/12/2024 12.30.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
06/12/2024 01.00.00,Banjir Rob,Sumenep Kabupaten,Berawan,RENDAH
05/12/2024 20.40.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
05/12/2024 19.00.00,Banjir,Pasuruan Kota,Hujan,SEDANG
05/12/2024 18.15.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
05/12/2024 17.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
05/12/2024 17.00.00,Banjir,Pasuruan Kabupaten,Hujan,TINGGI
05/12/2024 17.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
05/12/2024 17.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
05/12/2024 16.30.00,Banjir,Mojokerto Kabupaten,Hujan,SEDANG
05/12/2024 16.30.00,Banjir,Madiun Kabupaten,Hujan,SEDANG
05/12/2024 16.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,RENDAH
05/12/2024 15.00.00,Banjir,Kediri Kabupaten,Hujan,RENDAH
04/12/2024 19.30.00,Banjir,Mojokerto Kabupaten,Hujan,RENDAH
03/12/2024 16.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,RENDAH
02/12/2024 22.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
02/12/2024 20.30.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
02/12/2024 19.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
02/12/2024 17.00.00,Banjir,Tuban Kabupaten,Hujan Lebat,RENDAH
02/12/2024 12.30.00,Banjir,Pamekasan Kabupaten,Hujan Sedang,RENDAH
01/12/2024 20.54.00,Banjir,Pasuruan Kota,Hujan Ringan,RENDAH
01/12/2024 20.00.00,Banjir dan Tanah Longsor,Ponorogo Kabupaten,Hujan,RENDAH
01/12/2024 04.00.00,Banjir,Jember Kabupaten,Hujan Lebat,SEDANG
30/11/2024 16.30.00,Banjir,Bangkalan Kabupaten,Hujan Lebat,RENDAH
30/11/2024 16.00.00,Banjir dan Tanah Longsor,Blitar Kabupaten,Hujan,SEDANG
30/11/2024 15.00.00,Banjir,Pacitan Kabupaten,Hujan,RENDAH
30/11/2024 14.00.00,Banjir,Tuban Kabupaten,Hujan Lebat,RENDAH
30/11/2024 14.00.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
28/11/2024 23.00.00,Banjir,Jember Kabupaten,Hujan Lebat,SEDANG
28/11/2024 16.15.00,Banjir,Malang Kabupaten,Hujan Lebat,TINGGI
28/11/2024 11.00.00,Banjir,Blitar Kabupaten,Hujan Lebat,RENDAH
28/11/2024 09.00.00,Banjir,Pacitan Kabupaten,Hujan Lebat,RENDAH
28/11/2024 08.28.00,Banjir,Trenggalek Kabupaten,Hujan Sedang,RENDAH
25/11/2024 22.03.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
24/11/2024 23.30.00,Banjir,Sidoarjo Kabupaten,Hujan lebat,RENDAH
24/11/2024 20.30.00,Banjir,Magetan Kabupaten,Berawan,RENDAH
24/11/2024 19.30.00,Banjir,Ponorogo Kabupaten,Cerah Berawan,RENDAH
24/11/2024 19.00.00,Banjir,Ponorogo Kabupaten,Hujan,RENDAH
24/11/2024 17.25.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
24/11/2024 16.00.00,Banjir,Nganjuk Kabupaten,Hujan Ringan,RENDAH
24/11/2024 16.00.00,Banjir,Kediri Kabupaten,Hujan Ringan,RENDAH
24/11/2024 15.30.00,Banjir,Nganjuk Kabupaten,Berawan,RENDAH
23/11/2024 16.00.00,Banjir,Batu Kota,Hujan sedang - lebat,RENDAH
22/11/2024 19.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
22/11/2024 19.00.00,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
22/11/2024 15.11.21,Banjir,Ponorogo Kabupaten,Hujan Lebat,RENDAH
21/11/2024 05.00.00,Banjir,Lumajang Kabupaten,Hujan Lebat,RENDAH
20/11/2024 16.00.00,Banjir,Tulungagung Kabupaten,Hujan Lebat,RENDAH
19/11/2024 16.00.00,Banjir,Trenggalek Kabupaten,Hujan lebat,RENDAH
19/11/2024 15.00.00,Banjir,Madiun Kota,Berawan - Hujan Ringan,RENDAH
19/11/2024 14.00.00,Banjir,Jember Kabupaten,Hujan Lebat,SEDANG
19/11/2024 13.30.00,Banjir,Jember Kabupaten,Hujan lebat,SEDANG
19/11/2024 13.00.00,Banjir,Magetan Kabupaten,Hujan,RENDAH
19/11/2024 13.00.00,Banjir,Trenggalek Kabupaten,Hujan,RENDAH
19/11/2024 12.22.00,Banjir,Batu Kota,Berawan,RENDAH
18/11/2024 23.00.00,Banjir Rob,Surabaya Kota,Berawan,SEDANG
18/11/2024 22.00.00,Banjir Rob,Gresik Kabupaten,Hujan,RENDAH
18/11/2024 15.00.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
17/11/2024 20.30.00,Banjir,Madiun Kabupaten,Hujan Sedang - Lebat,SEDANG
17/11/2024 17.00.00,Banjir,Madiun Kota,Hujan Sedang - Lebat,SEDANG
16/11/2024 21.00.00,Banjir Rob,Probolinggo Kabupaten,Cerah Berawan,RENDAH
12/11/2024 03.00.00,Banjir,Lumajang Kabupaten,Hujan Lebat,RENDAH
11/11/2024 19.40.00,Banjir,Kediri Kabupaten,Hujan Lebat,SEDANG
11/11/2024 01.47.08,Banjir,Kediri Kota,Hujan Sedang,RENDAH
09/11/2024 12.56.00,Banjir,Batu Kota,Berawan,RENDAH
03/11/2024 14.00.00,Banjir,Madiun Kota,Hujan Lebat,RENDAH
25/10/2024 15.30.00,Banjir,Batu Kota,Hujan lebat,RENDAH
27/09/2024 14.00.00,Banjir,Malang Kota,Cerah Berawan,RENDAH
25/09/2024 15.15.00,Banjir,Malang Kota,Hujan Sedang - Lebat,RENDAH
25/09/2024 15.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
25/09/2024 15.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
24/09/2024 16.30.00,Banjir Bandang,Bojonegoro Kabupaten,Hujan Lebat,RENDAH
24/09/2024 15.00.00,Banjir,Batu Kota,Hujan Sedang,RENDAH
24/09/2024 13.10.00,Banjir,Malang Kota,Hujan Sedang,RENDAH
05/07/2024 07.00.00,Banjir Rob,Situbondo Kabupaten,Berawan,RENDAH
13/06/2024 20.30.00,Banjir,Mojokerto Kabupaten,Hujan Ringan,RENDAH
08/06/2024 09.00.00,Banjir Rob,Pasuruan Kota,Berawan,RENDAH
10/05/2024 13.00.00,Banjir Rob,Situbondo Kabupaten,Cerah,RENDAH
09/05/2024 11.30.00,Banjir Rob,Probolinggo Kabupaten,Cerah,RENDAH
25/04/2024 16.20.00,Banjir,Lamongan Kabupaten,Hujan Sedang,RENDAH
24/04/2024 15.30.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
24/04/2024 05.00.00,Banjir,Lamongan Kabupaten,Hujan,RENDAH
23/04/2024 16.57.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
23/04/2024 16.30.00,Banjir,Madiun Kota,Hujan Lebat,RENDAH
23/04/2024 16.00.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
23/04/2024 15.00.00,Banjir,Lumajang Kabupaten,Hujan Sedang,RENDAH
21/04/2024 18.00.00,Banjir,Madiun Kabupaten,Hujan Lebat,SEDANG
21/04/2024 16.30.00,Banjir,Ngawi Kabupaten,Hujan Lebat,RENDAH
21/04/2024 16.00.00,Banjir,Ponorogo Kabupaten,Hujan lebat,RENDAH
21/04/2024 14.40.00,Banjir Bandang,Tuban Kabupaten,Hujan Lebat,SEDANG
18/04/2024 23.00.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,RENDAH
18/04/2024 22.30.00,Banjir,Trenggalek Kabupaten,Hujan Sedang,RENDAH
18/04/2024 19.30.00,Banjir,Lumajang Kabupaten,Hujan Lebat,TINGGI
18/04/2024 15.00.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
14/04/2024 17.58.50,Banjir,Malang Kota,Hujan Lebat,RENDAH
13/04/2024 20.30.00,Banjir,Ponorogo Kabupaten,Hujan Ringan,RENDAH
13/04/2024 19.30.00,Banjir,Ponorogo Kabupaten,Hujan Deras,RENDAH
13/04/2024 15.00.00,Banjir,Lamongan Kabupaten,Berawan,RENDAH
12/04/2024 20.10.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
12/04/2024 01.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,SEDANG
11/04/2024 17.27.00,Banjir,Kediri Kota,Hujan Lebat,RENDAH
11/04/2024 15.03.00,Banjir,Bondowoso Kabupaten,Hujan Lebat,RENDAH
11/04/2024 15.00.00,Banjir,Magetan Kabupaten,Hujan Lebat,RENDAH
09/04/2024 14.50.00,Banjir,Banyuwangi Kabupaten,Hujan Sedang - Lebat,RENDAH
09/04/2024 14.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
09/04/2024 02.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
09/04/2024 01.30.00,Banjir,Madiun Kabupaten,Hujan Lebat,SEDANG
09/04/2024 01.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
09/04/2024 01.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
07/04/2024 22.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,SEDANG
07/04/2024 15.00.00,Banjir,Pasuruan Kota,Hujan Lebat,SEDANG
07/04/2024 01.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,SEDANG
05/04/2024 22.30.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
05/04/2024 21.00.00,Banjir,Sidoarjo Kabupaten,Hujan,RENDAH
05/04/2024 19.00.00,Banjir,Surabaya Kota,Hujan Sedang - Lebat,RENDAH
04/04/2024 22.00.00,Banjir,Sidoarjo Kabupaten,Hujan,RENDAH
02/04/2024 13.30.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
01/04/2024 18.00.00,Banjir Bandang,Madiun Kabupaten,Hujan Lebat,SEDANG
01/04/2024 17.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,RENDAH
01/04/2024 16.30.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
01/04/2024 16.30.00,Banjir,Bojonegoro Kabupaten,Hujan Ringan,RENDAH
28/03/2024 22.49.15,Banjir,Batu Kota,Hujan,RENDAH
28/03/2024 14.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
28/03/2024 13.00.00,Banjir,Malang Kota,Hujan Lebat,RENDAH
24/03/2024 14.20.00,Banjir,Lamongan Kabupaten,Hujan Lebat,RENDAH
21/03/2024 18.30.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
20/03/2024 16.50.00,Banjir,Pasuruan Kabupaten,Berawan - Hujan Ringan,SEDANG
19/03/2024 21.45.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,SEDANG
18/03/2024 20.00.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,RENDAH
17/03/2024 22.15.00,Banjir,Situbondo Kabupaten,Hujan Lebat,SEDANG
17/03/2024 21.00.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
16/03/2024 19.30.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
16/03/2024 18.00.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
14/03/2024 17.00.00,Banjir,Ponorogo Kabupaten,Hujan,RENDAH
14/03/2024 14.30.00,Banjir Rob,Malang Kabupaten,Hujan Lebat,RENDAH
14/03/2024 11.00.00,Banjir Rob,Trenggalek Kabupaten,Berawan,RENDAH
14/03/2024 10.00.00,Banjir,Sumenep Kabupaten,Hujan Lebat,SEDANG
14/03/2024 03.30.00,Banjir,Sumenep Kabupaten,Hujan Lebat,RENDAH
13/03/2024 12.45.00,Banjir,Gresik Kabupaten,Hujan Lebat,SEDANG
13/03/2024 11.00.00,Banjir Rob,Malang Kabupaten,Berawan,RENDAH
13/03/2024 11.00.00,Banjir Rob,Blitar Kabupaten,Berawan,RENDAH
12/03/2024 15.30.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
12/03/2024 13.13.31,Banjir,Sampang Kabupaten,Hujan Sangat Lebat,TINGGI
12/03/2024 07.00.00,Banjir,Bangkalan Kabupaten,Hujan,SEDANG
11/03/2024 05.00.00,Banjir,Situbondo Kabupaten,Hujan Sedang,RENDAH
11/03/2024 03.30.00,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
10/03/2024 20.00.00,Banjir,Bojonegoro Kabupaten,Hujan,RENDAH
10/03/2024 20.00.00,Banjir,Bojonegoro Kabupaten,Hujan,RENDAH
10/03/2024 20.00.00,Banjir,Bojonegoro Kabupaten,Hujan,RENDAH
10/03/2024 20.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
10/03/2024 16.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
10/03/2024 16.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
10/03/2024 15.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
10/03/2024 15.00.00,Banjir,Tuban Kabupaten,Hujan Lebat,SEDANG
10/03/2024 14.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
10/03/2024 13.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
10/03/2024 11.00.00,Banjir,Bojonegoro Kabupaten,Hujan,SEDANG
10/03/2024 03.00.00,Banjir,Kediri Kabupaten,Hujan,RENDAH
09/03/2024 22.00.00,Banjir,Madiun Kabupaten,Hujan Lebat,RENDAH
09/03/2024 19.45.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,RENDAH
09/03/2024 19.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,SEDANG
09/03/2024 19.00.00,Banjir,Ngawi Kabupaten,Hujan Lebat,RENDAH
09/03/2024 19.00.00,Banjir,Ngawi Kabupaten,Hujan,TINGGI
09/03/2024 18.00.00,Banjir,Madiun Kota,Hujan Lebat,RENDAH
09/03/2024 18.00.00,Banjir,Mojokerto Kota,Hujan Lebat,RENDAH
09/03/2024 16.00.00,Banjir,Probolinggo Kota,Hujan Lebat,RENDAH
09/03/2024 16.00.00,Banjir,Probolinggo Kabupaten,Hujan Lebat,RENDAH
