TANGGAL,RR
23-11-2024,1.4
24-11-2024,21.2
25-11-2024,12
26-11-2024,1.2
27-11-2024,5.3
28-11-2024,13.9
29-11-2024,9.7
30-11-2024,16.8
1/12/2024,4.9
2/12/2024,0.7
3/12/2024,6.5
4/12/2024,9.1
5/12/2024,2.4
6/12/2024,70.5
7/12/2024,33.5
8/12/2024,0
9/12/2024,12
10/12/2024,5.8
11/12/2024,27.2
12/12/2024,0
13-12-2024,8.1
14-12-2024,8.1
15-12-2024,9.5
16-12-2024,6.2
17-12-2024,3.2
18-12-2024,2.7
19-12-2024,4.8
20-12-2024,0
21-12-2024,45
22-12-2024,15.5
23-12-2024,10.2
24-12-2024,0.9
25-12-2024,8.5
26-12-2024,52.8
27-12-2024,0.2
28-12-2024,0
29-12-2024,11.3
30-12-2024,1.6
31-12-2024,4.8
1/1/2025,31.2
2/1/2025,29.3
3/1/2025,2.1
4/1/2025,0
5/1/2025,1.4
6/1/2025,4
7/1/2025,9.7
8/1/2025,17.6
9/1/2025,0
10/1/2025,5.2
11/1/2025,0
12/1/2025,0
13-01-2025,15.8
14-01-2025,1
15-01-2025,21.1
16-01-2025,0.4
17-01-2025,0
18-01-2025,0.6
19-01-2025,0.9
20-01-2025,29.8
21-01-2025,8.4
22-01-2025,31.5
23-01-2025,62
24-01-2025,3.9
25-01-2025,2.2
26-01-2025,1.4
27-01-2025,2.7
28-01-2025,42.3
29-01-2025,33.1
30-01-2025,18.5
31-01-2025,10.3
1/2/2025,0
2/2/2025,0
3/2/2025,0
4/2/2025,0
5/2/2025,0
6/2/2025,0
7/2/2025,1.1
8/2/2025,2.8
9/2/2025,0.9
10/2/2025,5.9
11/2/2025,2.6
12/2/2025,0
13-02-2025,0
14-02-2025,0
15-02-2025,2.9
16-02-2025,3.2
17-02-2025,0
18-02-2025,12
19-02-2025,30.6
20-02-2025,30.4
21-02-2025,0.2
22-02-2025,28.5
23-02-2025,4
24-02-2025,1.6
25-02-2025,62.9
26-02-2025,37.5
27-02-2025,18.3
28-02-2025,43.8
1/3/2025,71.2
2/3/2025,0
3/3/2025,0
4/3/2025,0
5/3/2025,0
6/3/2025,0
7/3/2025,6
8/3/2025,16
9/3/2025,2.4
10/3/2025,0
11/3/2025,4
12/3/2025,0.3
13-03-2025,6.3
14-03-2025,7.9
15-03-2025,1.9
16-03-2025,40.6
17-03-2025,16.5
18-03-2025,7
19-03-2025,6.7
20-03-2025,7.6
21-03-2025,5.3
22-03-2025,0
23-03-2025,11.8
24-03-2025,0.2
25-03-2025,4.4
26-03-2025,0
27-03-2025,4.3
28-03-2025,0
29-03-2025,10.8
30-03-2025,1.7
31-03-2025,0.2
1/4/2025,0
2/4/2025,0.5
3/4/2025,13.2
4/4/2025,0.5
5/4/2025,0
6/4/2025,0
7/4/2025,0
8/4/2025,10.8
9/4/2025,15
10/4/2025,0.2
11/4/2025,7
12/4/2025,11
13-04-2025,0
14-04-2025,0.6
15-04-2025,0
16-04-2025,0.5
17-04-2025,2.4
18-04-2025,0
19-04-2025,0
20-04-2025,0
21-04-2025,0
22-04-2025,0
23-04-2025,0
24-04-2025,0
25-04-2025,0
26-04-2025,0
27-04-2025,14.8
28-04-2025,0
29-04-2025,0
30-04-2025,0
1/5/2025,0
2/5/2025,0
3/5/2025,0
4/5/2025,0
5/5/2025,0
6/5/2025,0
7/5/2025,0.8
8/5/2025,31.7
9/5/2025,10
10/5/2025,9.2
11/5/2025,3.6
12/5/2025,37.5
13-05-2025,5
14-05-2025,19.3
15-05-2025,2.2
16-05-2025,2.6
17-05-2025,55.4
18-05-2025,0
19-05-2025,3.4
20-05-2025,23.4
21-05-2025,5.5
22-05-2025,0
23-05-2025,0
24-05-2025,0
25-05-2025,0
26-05-2025,0
27-05-2025,2.2
28-05-2025,0
29-05-2025,0
30-05-2025,0
31-05-2025,0
1/6/2025,11.8
2/6/2025,0
3/6/2025,0
4/6/2025,0
5/6/2025,0.2
6/6/2025,0
7/6/2025,0
8/6/2025,0
9/6/2025,1.5
10/6/2025,0
11/6/2025,0
12/6/2025,0
13-06-2025,0
14-06-2025,0
15-06-2025,0
16-06-2025,5.4
17-06-2025,0
18-06-2025,0
19-06-2025,0
20-06-2025,0
21-06-2025,0
22-06-2025,0.6
23-06-2025,3.5
24-06-2025,24
25-06-2025,0
26-06-2025,0
27-06-2025,0
28-06-2025,2.4
29-06-2025,0.8
30-06-2025,0.5
1/7/2025,0
2/7/2025,0
3/7/2025,0
4/7/2025,0.2
5/7/2025,0
6/7/2025,0
7/7/2025,2.6
8/7/2025,0
9/7/2025,0
10/7/2025,0
11/7/2025,0
12/7/2025,0
13-07-2025,0
14-07-2025,0.8
15-07-2025,0
16-07-2025,0
17-07-2025,0
18-07-2025,0
19-07-2025,0
20-07-2025,0
21-07-2025,0
22-07-2025,0
23-07-2025,0
24-07-2025,0
25-07-2025,0
26-07-2025,0
27-07-2025,0
28-07-2025,0
29-07-2025,0.2
30-07-2025,0
31-07-2025,0
1/8/2025,0
2/8/2025,0
3/8/2025,0
4/8/2025,16.6
5/8/2025,0
6/8/2025,0
7/8/2025,0
8/8/2025,0
9/8/2025,0
10/8/2025,0
11/8/2025,22
12/8/2025,6.6
13-08-2025,0
14-08-2025,0
15-08-2025,0
16-08-2025,0
17-08-2025,0
18-08-2025,0
19-08-2025,31.7
20-08-2025,11.4
21-08-2025,22
22-08-2025,0
23-08-2025,0
24-08-2025,0
25-08-2025,0
26-08-2025,0
27-08-2025,0
28-08-2025,2.2
29-08-2025,0
30-08-2025,0
31-08-2025,0
1/9/2025,0
2/9/2025,0
3/9/2025,0
4/9/2025,0
5/9/2025,0
6/9/2025,3
7/9/2025,0
8/9/2025,0
9/9/2025,0
10/9/2025,12.2
11/9/2025,4.1
12/9/2025,0
13-09-2025,0
14-09-2025,2.8
15-09-2025,0
16-09-2025,0
17-09-2025,0
18-09-2025,0
19-09-2025,1.7
20-09-2025,5.2
21-09-2025,0
22-09-2025,8.1
23-09-2025,0
24-09-2025,0
25-09-2025,7.7
26-09-2025,0
27-09-2025,0.5
28-09-2025,0
29-09-2025,0
30-09-2025,32.5
1/10/2025,9.8
2/10/2025,0
3/10/2025,0
4/10/2025,0
5/10/2025,0
6/10/2025,0
7/10/2025,0
8/10/2025,21.5
9/10/2025,0
10/10/2025,7.1
11/10/2025,45.4
12/10/2025,0
13-10-2025,0
14-10-2025,0
15-10-2025,0
16-10-2025,2.8
17-10-2025,1
18-10-2025,0
19-10-2025,0
20-10-2025,0.5
21-10-2025,0
22-10-2025,25
23-10-2025,47.6
24-10-2025,35.5
25-10-2025,12
26-10-2025,6
27-10-2025,31.6
28-10-2025,1
29-10-2025,52
30-10-2025,15
31-10-2025,42.9
1/11/2025,0
2/11/2025,0
3/11/2025,1.5
4/11/2025,0.7
5/11/2025,0
6/11/2025,12.2
7/11/2025,0.6
8/11/2025,145.6
9/11/2025,17
10/11/2025,0
11/11/2025,7
12/11/2025,1.2
13-11-2025,56.6
14-11-2025,8.2
15-11-2025,6.9
16-11-2025,5.3
17-11-2025,0.5
18-11-2025,4.5
19-11-2025,74.3
20-11-2025,41.2
21-11-2025,1.3
22-11-2025,7
23-11-2025,7.4
24-11-2025,40
25-11-2025,12.5
26-11-2025,1
27-11-2025,22.9
28-11-2025,1.5
29-11-2025,0
