TANGGAL,RR
18-11-2021,3.5
19-11-2021,3
20-11-2021,2.4
21-11-2021,1.6
22-11-2021,5
23-11-2021,6.6
24-11-2021,40.9
25-11-2021,36.4
26-11-2021,49.6
27-11-2021,4.2
28-11-2021,8.5
29-11-2021,3
30-11-2021,9.8
1/12/2021,6.2
2/12/2021,4
3/12/2021,0
4/12/2021,0.9
5/12/2021,22.6
6/12/2021,1.5
7/12/2021,10.5
8/12/2021,8.9
9/12/2021,55.4
10/12/2021,0
11/12/2021,5.5
12/12/2021,0
13-12-2021,0
14-12-2021,0
15-12-2021,0
16-12-2021,5.3
17-12-2021,2.5
18-12-2021,0
19-12-2021,37
20-12-2021,7
21-12-2021,22.6
22-12-2021,0.5
23-12-2021,0
24-12-2021,13
25-12-2021,7
26-12-2021,0
27-12-2021,0
28-12-2021,0
29-12-2021,2.5
30-12-2021,1.7
31-12-2021,0
1/1/2022,25.1
2/1/2022,6.4
3/1/2022,2.9
4/1/2022,0
5/1/2022,0.8
6/1/2022,0
7/1/2022,0
8/1/2022,0.2
9/1/2022,2.7
10/1/2022,26.6
11/1/2022,22.6
12/1/2022,17.9
13-01-2022,0
14-01-2022,0.6
15-01-2022,2.1
16-01-2022,4
17-01-2022,1.9
18-01-2022,21.4
19-01-2022,31.3
20-01-2022,8.7
21-01-2022,26.3
22-01-2022,0.3
23-01-2022,2.7
24-01-2022,0
25-01-2022,0
26-01-2022,0
27-01-2022,2.8
28-01-2022,1.8
29-01-2022,0
30-01-2022,1.5
31-01-2022,5.5
1/2/2022,12.5
2/2/2022,47.4
3/2/2022,1.2
4/2/2022,36.4
5/2/2022,0
6/2/2022,3.6
7/2/2022,55
8/2/2022,2.3
9/2/2022,5.6
10/2/2022,42
11/2/2022,1.2
12/2/2022,32.6
13-02-2022,4.8
14-02-2022,0.4
15-02-2022,3.7
16-02-2022,41.2
17-02-2022,0
18-02-2022,2.2
19-02-2022,6.2
20-02-2022,0
21-02-2022,0
22-02-2022,3.2
23-02-2022,0
24-02-2022,0
25-02-2022,1.3
26-02-2022,37
27-02-2022,12.3
28-02-2022,0.4
1/3/2022,1.5
2/3/2022,0.4
3/3/2022,5.3
4/3/2022,8.5
5/3/2022,9.9
6/3/2022,0
7/3/2022,0
8/3/2022,47
9/3/2022,16.4
10/3/2022,62.8
11/3/2022,1.8
12/3/2022,0
13-03-2022,5
14-03-2022,12.8
15-03-2022,89.4
16-03-2022,3.2
17-03-2022,1
18-03-2022,0
19-03-2022,46.6
20-03-2022,3.5
21-03-2022,1.5
22-03-2022,9.5
23-03-2022,1
24-03-2022,5.5
25-03-2022,0
26-03-2022,0
27-03-2022,3
28-03-2022,4.7
29-03-2022,5
30-03-2022,3.4
31-03-2022,0
1/4/2022,21
2/4/2022,18.3
3/4/2022,6.2
4/4/2022,7.5
5/4/2022,95.7
6/4/2022,3.5
7/4/2022,0.5
8/4/2022,0
9/4/2022,26
10/4/2022,18.2
11/4/2022,0.1
12/4/2022,0
13-04-2022,1
14-04-2022,0
15-04-2022,0
16-04-2022,0
17-04-2022,42.5
18-04-2022,0
19-04-2022,2.8
20-04-2022,45
21-04-2022,5.6
22-04-2022,45.5
23-04-2022,0
24-04-2022,1.6
25-04-2022,5.6
26-04-2022,0
27-04-2022,0
28-04-2022,1.5
29-04-2022,2.5
30-04-2022,4
1/5/2022,1
2/5/2022,0
3/5/2022,0
4/5/2022,9.6
5/5/2022,0
6/5/2022,0
7/5/2022,0.5
8/5/2022,0
9/5/2022,0
10/5/2022,0
11/5/2022,0
12/5/2022,0
13-05-2022,4.8
14-05-2022,0.1
15-05-2022,10.3
16-05-2022,0
17-05-2022,0
18-05-2022,0.2
19-05-2022,0
20-05-2022,12.9
21-05-2022,18.4
22-05-2022,0
23-05-2022,0
24-05-2022,0
25-05-2022,0
26-05-2022,0
27-05-2022,1.2
28-05-2022,15.6
29-05-2022,0
30-05-2022,0
31-05-2022,0
1/6/2022,4.8
2/6/2022,0
3/6/2022,5.5
4/6/2022,0
5/6/2022,0
6/6/2022,73.1
7/6/2022,0.6
8/6/2022,0.5
9/6/2022,0
10/6/2022,0
11/6/2022,92.5
12/6/2022,1.7
13-06-2022,4.4
14-06-2022,0.8
15-06-2022,0
16-06-2022,2.2
17-06-2022,6.9
18-06-2022,58.4
19-06-2022,34.8
20-06-2022,20
21-06-2022,0
22-06-2022,0
23-06-2022,0
24-06-2022,9.5
25-06-2022,3.9
26-06-2022,0
27-06-2022,23.4
28-06-2022,0
29-06-2022,0
30-06-2022,0
1/7/2022,0
2/7/2022,0
3/7/2022,17.4
4/7/2022,0
5/7/2022,0
6/7/2022,0
7/7/2022,0
8/7/2022,0
9/7/2022,0
10/7/2022,0
11/7/2022,0
12/7/2022,0
13-07-2022,1.9
14-07-2022,1
15-07-2022,0
16-07-2022,0
17-07-2022,0
18-07-2022,0
19-07-2022,0
20-07-2022,0
21-07-2022,0
22-07-2022,0
23-07-2022,0
24-07-2022,0
25-07-2022,0
26-07-2022,0
27-07-2022,0
28-07-2022,0
29-07-2022,0
30-07-2022,0
31-07-2022,0
1/8/2022,0
2/8/2022,0
3/8/2022,0
4/8/2022,0.8
5/8/2022,0
6/8/2022,0
7/8/2022,1.5
8/8/2022,5.1
9/8/2022,0
10/8/2022,0
11/8/2022,0
12/8/2022,0
13-08-2022,0
14-08-2022,15.1
15-08-2022,0.4
16-08-2022,0
17-08-2022,18.8
18-08-2022,0
19-08-2022,0
20-08-2022,0
21-08-2022,0
22-08-2022,0
23-08-2022,0
24-08-2022,0
25-08-2022,0
26-08-2022,-
27-08-2022,0
28-08-2022,0
29-08-2022,0
30-08-2022,1.8
31-08-2022,0.1
1/9/2022,0
2/9/2022,0
3/9/2022,0
4/9/2022,0
5/9/2022,16.4
6/9/2022,0
7/9/2022,0
8/9/2022,11.4
9/9/2022,0
10/9/2022,22
11/9/2022,19.3
12/9/2022,1
13-09-2022,-
14-09-2022,0.3
15-09-2022,28.8
16-09-2022,0
17-09-2022,0
18-09-2022,0
19-09-2022,0
20-09-2022,5
21-09-2022,0
22-09-2022,2.1
23-09-2022,2.6
24-09-2022,0
25-09-2022,17.6
26-09-2022,0
27-09-2022,0
28-09-2022,0
29-09-2022,0
30-09-2022,0.2
1/10/2022,0.5
2/10/2022,15
3/10/2022,1
4/10/2022,0
5/10/2022,0
6/10/2022,61.2
7/10/2022,73.8
8/10/2022,13.6
9/10/2022,2
10/10/2022,88.5
11/10/2022,4.4
12/10/2022,0.3
13-10-2022,1.1
14-10-2022,0.4
15-10-2022,24
16-10-2022,3.1
17-10-2022,5.4
18-10-2022,17.4
19-10-2022,3
20-10-2022,3
21-10-2022,20.7
22-10-2022,64.3
23-10-2022,1.8
24-10-2022,52
25-10-2022,0
26-10-2022,12.6
27-10-2022,27
28-10-2022,0
29-10-2022,0
30-10-2022,0
31-10-2022,0
1/11/2022,0
2/11/2022,9.3
3/11/2022,23.5
4/11/2022,0
5/11/2022,12.8
6/11/2022,8.8
7/11/2022,13.8
8/11/2022,2
9/11/2022,5.8
10/11/2022,2
11/11/2022,14.9
12/11/2022,47.9
13-11-2022,0
14-11-2022,5.1
15-11-2022,46.6
16-11-2022,4.4
17-11-2022,4
18-11-2022,45.6
19-11-2022,25.5
20-11-2022,4.2
21-11-2022,4
22-11-2022,17.8
23-11-2022,2.6
24-11-2022,49.6
25-11-2022,21.7
26-11-2022,3.7
27-11-2022,38.5
28-11-2022,30.9
29-11-2022,17.9
30-11-2022,10.8
1/12/2022,0
2/12/2022,0
3/12/2022,24.9
4/12/2022,1.6
5/12/2022,1.1
6/12/2022,0.6
7/12/2022,0.7
8/12/2022,0
9/12/2022,0
10/12/2022,0
11/12/2022,0
12/12/2022,0
13-12-2022,15.2
14-12-2022,4.1
15-12-2022,5
16-12-2022,73.8
17-12-2022,1.7
18-12-2022,0.6
19-12-2022,0
20-12-2022,0
21-12-2022,1.2
22-12-2022,0
23-12-2022,3.6
